,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Kareem Abdul-Jabbar*,C,31,LAL,80,3157,25.5,.612,,.352,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,,8.8,5.6,14.4,.219,,4.6,3.0,7.6,7.7
1,Tom Abernethy,PF,24,GSW,70,1219,13.6,.550,,.275,6.5,12.6,9.5,8.4,1.5,0.6,7.7,13.8,,2.3,1.3,3.7,.144,,0.2,0.7,0.9,0.9
2,Alvan Adams,C,24,PHO,77,2364,20.4,.570,,.269,10.5,22.4,16.6,20.8,2.1,1.4,18.9,24.1,,3.9,3.7,7.6,.154,,2.3,1.2,3.4,3.2
3,Lucius Allen,PG,31,KCK,31,413,8.7,.416,,.190,3.6,8.6,6.1,13.6,2.3,0.8,13.7,20.3,,-0.4,0.5,0.1,.007,,-3.7,0.4,-3.3,-0.1
4,Kim Anderson,SF,23,POR,21,224,3.0,.353,,.364,8.3,14.1,11.2,8.5,0.8,1.3,19.8,19.6,,-0.6,0.2,-0.4,-0.078,,-6.1,-1.3,-7.5,-0.4
5,Tiny Archibald*,PG,30,BOS,69,1662,13.1,.537,,.536,1.7,5.3,3.4,26.3,1.5,0.2,21.8,21.3,,1.0,0.6,1.6,.046,,-0.5,-2.1,-2.6,-0.3
6,Tate Armstrong,SG,23,CHI,26,259,6.5,.436,,.186,3.0,5.5,4.2,15.5,1.8,0.0,21.7,14.9,,-0.2,0.2,-0.1,-0.012,,-3.9,-0.3,-4.2,-0.2
7,Dennis Awtrey,C,30,TOT,63,746,6.7,.490,,.523,6.0,15.7,10.8,11.1,1.0,0.9,28.3,9.6,,-0.1,0.9,0.7,.046,,-3.5,1.2,-2.3,-0.1
8,Dennis Awtrey,C,30,BOS,23,247,5.4,.473,,.455,5.8,15.4,10.6,9.8,0.5,1.3,28.5,11.7,,-0.2,0.1,0.0,-0.006,,-4.1,0.0,-4.1,-0.1
9,Dennis Awtrey,C,30,SEA,40,499,7.3,.501,,.571,6.1,15.8,11.0,11.8,1.2,0.7,28.2,8.6,,0.0,0.7,0.8,.073,,-3.2,1.8,-1.4,0.1
10,Gus Bailey,SG,27,NOJ,2,9,6.1,.286,,.000,22.5,0.0,10.9,33.2,0.0,0.0,12.5,33.9,,0.0,0.0,0.0,-0.201,,-4.4,-0.4,-4.8,0.0
11,Greg Ballard,SF,24,WSB,82,1552,14.9,.503,,.308,9.5,19.8,14.7,9.4,1.7,1.0,13.3,18.0,,1.7,2.2,3.9,.120,,0.0,0.7,0.7,1.1
12,Mike Bantom,PF,27,IND,81,2528,15.7,.503,,.326,9.2,17.3,13.2,12.3,1.8,1.3,14.0,21.3,,2.2,3.0,5.2,.099,,0.0,0.3,0.2,1.4
13,Tom Barker,C,23,TOT,39,476,9.1,.473,,.237,10.2,17.0,13.6,4.1,1.0,1.2,16.5,17.0,,-0.1,0.4,0.3,.031,,-3.5,-1.0,-4.6,-0.4
14,Tom Barker,C,23,HOU,5,16,13.2,.581,,.333,13.8,26.8,20.4,0.0,0.0,0.0,12.7,19.4,,0.0,0.0,0.0,.147,,-4.3,-0.3,-4.6,0.0
15,Tom Barker,C,23,BOS,12,131,9.5,.485,,.313,10.1,15.4,12.7,6.2,1.4,1.6,19.2,20.1,,-0.1,0.1,0.0,.017,,-4.0,-0.4,-4.4,-0.1
