,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New York Knicks,52,30,.634,116.7,112.9,3.62,Y,N
1,Philadelphia 76ers,46,36,.561,111.9,110.4,1.68,Y,N
2,Boston Celtics,42,40,.512,109.2,108.1,1.26,Y,N
3,Washington Bullets,40,42,.488,108.3,110.4,-1.77,N,Y
4,New Jersey Nets,26,56,.317,103.7,110.1,-5.69,N,Y
5,Charlotte Hornets,20,62,.244,104.5,113.0,-7.74,N,Y
6,Detroit Pistons,63,19,.768,106.6,100.8,6.24,Y,N
7,Cleveland Cavaliers,57,25,.695,108.8,101.2,7.95,Y,N
8,Atlanta Hawks,52,30,.634,111.0,106.1,5.26,Y,N
9,Milwaukee Bucks,49,33,.598,108.9,105.3,4.11,Y,N
10,Chicago Bulls,47,35,.573,106.4,105.0,2.13,Y,N
11,Indiana Pacers,28,54,.341,106.9,111.1,-3.00,N,Y
12,Utah Jazz,51,31,.622,104.7,99.7,4.01,Y,N
13,Houston Rockets,45,37,.549,108.5,107.5,0.22,Y,N
14,Denver Nuggets,44,38,.537,118.0,116.3,0.91,Y,N
15,Dallas Mavericks,38,44,.463,103.5,104.7,-1.79,N,Y
16,San Antonio Spurs,21,61,.256,105.5,112.8,-7.45,N,Y
17,Miami Heat,15,67,.183,97.8,109.0,-11.13,N,Y
18,Los Angeles Lakers,57,25,.695,114.7,107.5,6.38,Y,N
19,Phoenix Suns,55,27,.671,118.6,110.9,6.84,Y,N
20,Seattle SuperSonics,47,35,.573,112.1,109.2,2.44,Y,N
21,Golden State Warriors,43,39,.524,116.6,116.9,-0.59,Y,N
22,Portland Trail Blazers,39,43,.476,114.6,113.1,0.92,Y,Y
23,Sacramento Kings,27,55,.329,105.5,111.0,-5.35,N,Y
24,Los Angeles Clippers,21,61,.256,106.2,116.2,-9.50,N,Y
